subject,is_mw,n,skip_rate,importance,zipf,length,surprisal
12,0,9062,0.6525049657912161,-0.06786871583552712,0.23694141961157222,-0.277036774953777,-0.16728409774126907
12,1,902,0.5487804878048781,-0.0029235847417665717,0.2590077680986771,-0.36951331496786044,-0.19636867760833598
13,0,9046,0.44793278797258457,-0.0226751865318342,0.3274880004079921,-0.34312384140336616,-0.24094859415576397
13,1,782,0.2595907928388747,0.05153270884912842,0.45421441758765324,-0.5209083097237466,-0.3710842457420924
14,0,9208,0.43516507384882713,0.022602869512097445,0.31361081383871237,-0.32429952063796064,-0.21274349053524488
14,1,1422,0.3459915611814346,0.026374683101669794,0.32356193723227555,-0.3945886878223621,-0.2801347368421052
15,0,9794,0.3477639371043496,0.03311433173842171,0.18219174531224325,-0.23661410432288077,-0.12380356174629181
15,1,435,0.25517241379310346,0.026665554443332296,0.317067067067067,-0.42453564675786903,-0.29611589068825916
16,0,9019,0.34493846324426214,-0.025088319843515117,0.36303764765948343,-0.4041638021069667,-0.2875362956064871
16,1,1278,0.24569640062597808,0.07557417342812589,0.48225282131247194,-0.4653579829267648,-0.3341484093282536
17,0,9260,0.5869330453563715,-0.06040730919782822,0.3110609881487094,-0.3630953093902388,-0.2467595639703869
17,1,863,0.3383545770567787,-0.04438859966892983,0.5252740925557182,-0.5809622627929851,-0.39144471347861176
18,0,10017,0.4306678646301288,-0.029597229447026696,0.33398265120204895,-0.37067811384600957,-0.2568527531837388
18,1,522,0.2739463601532567,0.05618392161927788,0.4345074450615347,-0.430927911138993,-0.2786690433749257
19,0,8154,0.392813343144469,-0.03958878180064096,0.5008921965388815,-0.5305436297886001,-0.3794929281984071
19,1,234,0.4017094017094017,-0.09665653495440729,0.43465045592705165,-0.5792553191489362,-0.33086419753086416
20,0,10584,0.23412698412698413,0.012870128584790752,0.5446768473496948,-0.5343166920466849,-0.37407165639951223
21,0,10105,0.6540326571004453,-0.03622933050520871,0.32155539582145276,-0.30999593855269125,-0.229065421340922
